year,popsize,propmig,He,Ho,meanRRS,nadults,k,nSNP,nMicro,maxage,broodsize,maturity,years,r0,ratemort,V17
6,799,0.0225281602002503,0.431512090363267,0.368085106382979,NA,781,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
7,767,0.0195567144719687,0.431602664676715,0.374445893089961,NA,747,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
8,679,0.0235640648011782,0.439648751412564,0.379970544918999,NA,655,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
9,410,0.0365853658536585,0.459325996430696,0.401463414634146,NA,387,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
10,159,0.0943396226415094,0.492885961789486,0.469811320754717,NA,147,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
11,168,0.0952380952380952,0.495999858276644,0.473809523809524,NA,153,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
12,172,0.11046511627907,0.493057057869118,0.488372093023256,NA,160,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
13,170,0.105882352941176,0.491378892733564,0.49,NA,156,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
14,163,0.0858895705521472,0.48893070872069,0.500613496932515,NA,150,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
15,158,0.0949367088607595,0.492280884473642,0.50379746835443,NA,146,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
16,148,0.0945945945945946,0.493439554419284,0.489189189189189,NA,137,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
17,137,0.102189781021898,0.487130374553785,0.483941605839416,NA,124,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
18,126,0.126984126984127,0.484624590576972,0.449206349206349,NA,116,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
19,120,0.108333333333333,0.485052083333333,0.4575,NA,111,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
