year,popsize,propmig,He,Ho,meanRRS,nadults,k,nSNP,nMicro,maxage,broodsize,maturity,years,r0,ratemort,V17
27,90,0.144444444444444,0.460728395061728,0.382222222222222,NA,83,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
28,87,0.114942528735632,0.463727044523715,0.410344827586207,NA,78,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
29,87,0.126436781609195,0.467036596644207,0.448275862068966,NA,78,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
30,87,0.149425287356322,0.457200422777117,0.42183908045977,NA,80,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
31,87,0.172413793103448,0.454465583300304,0.426436781609195,NA,79,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
32,87,0.195402298850575,0.439199365834324,0.402298850574713,NA,79,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
33,88,0.193181818181818,0.427627840909091,0.392045454545455,NA,80,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
34,86,0.174418604651163,0.424689021092482,0.411627906976744,NA,79,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
35,84,0.166666666666667,0.412089002267574,0.40952380952381,NA,76,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
36,87,0.195402298850575,0.408785836966574,0.377011494252874,NA,79,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
37,86,0.22093023255814,0.411350730124392,0.375581395348837,NA,80,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
38,85,0.223529411764706,0.397847750865052,0.34,NA,77,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
39,85,0.2,0.400449826989619,0.363529411764706,NA,76,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
40,79,0.164556962025316,0.387189552956257,0.337974683544304,NA,74,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
41,76,0.157894736842105,0.403211565096953,0.348684210526316,NA,70,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
42,76,0.184210526315789,0.41294148199446,0.359210526315789,NA,69,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
43,74,0.175675675675676,0.420115047479912,0.352702702702703,NA,68,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
44,68,0.132352941176471,0.410434688581315,0.369117647058824,NA,62,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
45,67,0.134328358208955,0.41867899309423,0.404477611940299,NA,61,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
46,68,0.147058823529412,0.414943771626298,0.397058823529412,NA,61,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
47,70,0.2,0.438204081632653,0.434285714285714,NA,64,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
48,70,0.242857142857143,0.432418367346939,0.398571428571429,NA,63,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
49,71,0.23943661971831,0.449156913310851,0.419718309859155,NA,65,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
50,73,0.246575342465753,0.441283542878589,0.413698630136986,NA,64,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
51,73,0.232876712328767,0.441152186151248,0.419178082191781,NA,66,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
52,76,0.236842105263158,0.452943213296399,0.421052631578947,NA,67,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
53,76,0.210526315789474,0.441949445983379,0.397368421052632,NA,67,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
54,75,0.186666666666667,0.432533333333333,0.405333333333333,NA,68,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
55,75,0.173333333333333,0.435751111111111,0.418666666666667,NA,68,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
56,76,0.157894736842105,0.433301592797784,0.425,NA,68,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
57,79,0.177215189873418,0.446555039256529,0.439240506329114,NA,72,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
58,79,0.164556962025316,0.443807082198366,0.432911392405063,NA,72,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
59,77,0.142857142857143,0.446053297351999,0.432467532467532,NA,70,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
60,77,0.142857142857143,0.447166469893743,0.448051948051948,NA,70,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
61,76,0.144736842105263,0.446572022160665,0.442105263157895,NA,69,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
62,77,0.168831168831169,0.470306965761511,0.461038961038961,NA,69,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
63,80,0.1875,0.478765625,0.4825,NA,72,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
64,78,0.166666666666667,0.475213675213675,0.474358974358974,NA,71,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
65,80,0.1875,0.479375,0.45,NA,71,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
66,80,0.1625,0.480796875,0.4675,NA,71,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
67,82,0.182926829268293,0.482807852468769,0.460975609756098,NA,75,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
68,84,0.214285714285714,0.478543083900227,0.469047619047619,NA,78,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
69,81,0.197530864197531,0.477457704618198,0.466666666666667,NA,75,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
70,82,0.182926829268293,0.471668649613325,0.460975609756098,NA,73,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
71,80,0.175,0.464015625,0.445,NA,74,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
72,76,0.157894736842105,0.46027527700831,0.409210526315789,NA,70,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
73,74,0.135135135135135,0.451442658875091,0.421621621621622,NA,66,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
74,71,0.126760563380282,0.435568339615156,0.433802816901408,NA,64,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
75,67,0.119402985074627,0.432869235910002,0.41044776119403,NA,61,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
76,62,0.112903225806452,0.438111342351717,0.409677419354839,NA,59,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
77,60,0.1,0.428569444444444,0.401666666666667,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
78,59,0.101694915254237,0.414047687446136,0.389830508474576,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
79,56,0.142857142857143,0.417012117346939,0.398214285714286,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
80,58,0.206896551724138,0.43038049940547,0.4,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
81,56,0.214285714285714,0.416677295918367,0.392857142857143,NA,51,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
82,52,0.173076923076923,0.394452662721893,0.376923076923077,NA,46,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
83,54,0.222222222222222,0.410322359396434,0.366666666666667,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
