year,popsize,propmig,He,Ho,meanRRS,nadults,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort,plotit,V21
47,69,0.173913043478261,0.462014282713716,0.398550724637681,NA,64,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
48,66,0.166666666666667,0.466758494031221,0.4,NA,60,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
49,69,0.188405797101449,0.465952530980886,0.391304347826087,NA,62,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
50,68,0.176470588235294,0.471193771626298,0.411764705882353,NA,62,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
51,65,0.123076923076923,0.482473372781065,0.447692307692308,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
52,63,0.126984126984127,0.48217435122197,0.449206349206349,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
53,63,0.142857142857143,0.486797682035777,0.441269841269841,NA,59,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
54,63,0.158730158730159,0.490262030738221,0.436507936507937,NA,56,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
55,66,0.212121212121212,0.482093663911846,0.436363636363636,NA,60,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
56,69,0.246376811594203,0.480392774627179,0.433333333333333,NA,64,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
57,68,0.25,0.474448529411765,0.442647058823529,NA,63,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
58,67,0.253731343283582,0.477812430385387,0.465671641791045,NA,61,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
59,73,0.287671232876712,0.472058547569901,0.438356164383562,NA,64,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
60,69,0.246376811594203,0.470205839109431,0.433333333333333,NA,62,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
61,66,0.212121212121212,0.463831496786042,0.422727272727273,NA,61,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
62,70,0.228571428571429,0.450561224489796,0.41,NA,64,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
63,66,0.181818181818182,0.431772268135905,0.4,NA,59,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
64,64,0.15625,0.41627197265625,0.3890625,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
65,66,0.181818181818182,0.416219008264463,0.386363636363636,NA,61,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
66,70,0.2,0.417173469387755,0.401428571428571,NA,63,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
67,69,0.202898550724638,0.408905692081495,0.391304347826087,NA,63,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
68,64,0.171875,0.40889892578125,0.3953125,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
69,65,0.184615384615385,0.389325443786982,0.363076923076923,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
70,70,0.214285714285714,0.398214285714286,0.378571428571429,NA,62,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
71,72,0.222222222222222,0.403742283950617,0.394444444444444,NA,64,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
