year,popsize,propmig,He,Ho,meanRRS,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort
54,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
55,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
56,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
57,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
58,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
59,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
60,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
61,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
62,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
63,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
64,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
65,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
66,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
67,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
68,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
69,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
70,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
71,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
72,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
73,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
74,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
75,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
76,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
77,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
78,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
79,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
80,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
81,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
82,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
83,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
84,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
85,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
86,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
87,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
88,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
89,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
90,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
91,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
92,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
93,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
94,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
95,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
96,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
97,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
98,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
99,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
100,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
