year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,LBp,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
30,733,0,0.162356282271654,0.162815329281905,-0.000698377896156287,500,0.481582537517053,0,0.00695184746616192,4,1,233,0.365501806482735,NA,1000,0,0.162815329281905,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
31,727,0,0.162079393940541,0.162590971614355,-0.000827748387250572,491,0.471801925722146,0,0.00706586819965783,4,1,236,0.365532169367657,NA,1000,0,0.162590971614355,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
32,730,0,0.162297936675822,0.162481942714819,1.76476943742461e-05,498,0.512328767123288,0,0.00734951076644147,4,1,232,0.365618565418452,NA,1000,0,0.162481942714819,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
33,717,0,0.16211830052773,0.162159249397743,0.000393021753759411,487,0.495118549511855,0,0.00768691184740201,4,1,230,0.365791822755745,NA,1000,0,0.162159249397743,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
34,705,0,0.162123385964672,0.162012894906512,0.000782165805539926,469,0.529078014184397,0,0.00793007651072343,4,1,236,0.365913608258214,NA,1000,0,0.162012894906512,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
35,699,0,0.161655911469686,0.161862400832358,-1.914849885268e-05,463,0.526466380543634,0,0.00809964450508962,4,1,236,0.366017710026537,NA,1000,0,0.161862400832358,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
36,726,0,0.161704202223036,0.161801903330829,0.000242669298305301,490,0.506887052341598,0,0.00847762873815444,4,1,236,0.366210416794665,NA,1000,0,0.161801903330829,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
37,718,0,0.161365217279365,0.161657381615599,-0.000253835359201415,493,0.502785515320334,0,0.00876639821029689,4,1,225,0.3664309557439,NA,1000,0,0.161657381615599,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
38,703,0,0.161639773676908,0.162156989525411,-0.000810891521465991,467,0.487908961593172,0,0.00893181536975887,4,1,236,0.366462008960855,NA,1000,0,0.162156989525411,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
39,703,0,0.161533153345686,0.161939738781844,-0.000530361484458845,464,0.492176386913229,0,0.00919842024995595,4,1,239,0.366511416215917,NA,1000,0,0.161939738781844,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
