YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,LRSmigs,LRSnative,project,group
202,170,1.25294117647059,1.36334849137898,1.07142857142857,1.43023255813953,0.0963800904977376,0.104872960875307,1,3,NaN,1.25294117647059,_proj_,_group_
203,163,1.1840490797546,1.42828250397341,1.17721518987342,1.19047619047619,0.0910806984426616,0.109867884921032,1,3,NaN,1.1840490797546,_proj_,_group_
204,186,1.26881720430108,1.59485514005394,1.27956989247312,1.25806451612903,0.097601323407775,0.122681164619534,1,3,NaN,1.26881720430108,_proj_,_group_
205,179,1.39106145251397,1.61214787693352,1.23333333333333,1.55056179775281,0.107004727116459,0.124011375148732,1,3,NaN,1.39106145251397,_proj_,_group_
206,178,1.51123595505618,1.53025519102546,1.64210526315789,1.36144578313253,0.116248919619706,0.11771193777119,1,3,NaN,1.51123595505618,_proj_,_group_
207,181,1.28729281767956,1.57596667597429,1.53409090909091,1.05376344086022,0.0990225244368891,0.121228205844176,1,3,NaN,1.28729281767956,_proj_,_group_
208,175,1.38285714285714,1.5671714241199,1.33720930232558,1.42696629213483,0.106373626373626,0.120551648009223,1,3,NaN,1.38285714285714,_proj_,_group_
209,191,1.16230366492147,1.54573877139947,1.19101123595506,1.13725490196078,0.0894079742247282,0.118902982415344,1,3,NaN,1.16230366492147,_proj_,_group_
210,172,1.22093023255814,1.4581985424681,1.1358024691358,1.2967032967033,0.09391771019678,0.112169118651392,1,3,NaN,1.22093023255814,_proj_,_group_
211,171,1.33333333333333,1.38903267229604,1.37647058823529,1.2906976744186,0.102564102564103,0.106848667099696,1,3,NaN,1.33333333333333,_proj_,_group_
212,179,1.44692737430168,1.67641573585283,1.41666666666667,1.48192771084337,0.111302105715514,0.128955056604064,1,3,NaN,1.44692737430168,_proj_,_group_
213,177,1.12429378531073,1.52491716750296,1.29487179487179,0.98989898989899,0.086484137331595,0.117301320577151,1,3,NaN,1.12429378531073,_proj_,_group_
214,178,1.31460674157303,1.43480155219862,1.29545454545455,1.33333333333333,0.101123595505618,0.110369350169125,1,3,NaN,1.31460674157303,_proj_,_group_
215,181,1.31491712707182,1.57594719975869,1.36986301369863,1.27777777777778,0.101147471313217,0.121226707673745,1,3,NaN,1.31491712707182,_proj_,_group_
216,173,1.24277456647399,1.36356975970499,1.33333333333333,1.16842105263158,0.0955980435749222,0.104889981515769,1,3,NaN,1.24277456647399,_proj_,_group_
217,183,1.23497267759563,1.73029911481279,1.16279069767442,1.29896907216495,0.0949978982765868,0.133099931908676,1,3,NaN,1.23497267759563,_proj_,_group_
218,179,1.41340782122905,1.57830769352623,1.40816326530612,1.41975308641975,0.108723678556081,0.121408284117403,1,3,NaN,1.41340782122905,_proj_,_group_
219,168,1.3452380952381,1.45589076068332,1.28571428571429,1.3956043956044,0.103479853479853,0.11199159697564,1,3,NaN,1.3452380952381,_proj_,_group_
220,190,1.41578947368421,1.46231792441245,1.47572815533981,1.3448275862069,0.108906882591093,0.112485994185573,1,3,NaN,1.41578947368421,_proj_,_group_
221,189,1.47619047619048,1.59644361593042,1.66336633663366,1.26136363636364,0.113553113553114,0.122803355071571,1,3,NaN,1.47619047619048,_proj_,_group_
222,195,1.68205128205128,1.77073457220207,1.49484536082474,1.86734693877551,0.129388560157791,0.136210351707852,1,3,NaN,1.68205128205128,_proj_,_group_
223,185,1.17297297297297,1.4715875501457,1.22340425531915,1.12087912087912,0.0902286902286902,0.1131990423189,1,3,NaN,1.17297297297297,_proj_,_group_
224,178,1.31460674157303,1.41896361971637,1.33333333333333,1.29545454545455,0.101123595505618,0.10915104767049,1,3,NaN,1.31460674157303,_proj_,_group_
225,187,1.13368983957219,1.46217130119422,1.17391304347826,1.09473684210526,0.0872069107363225,0.112474715476478,1,3,NaN,1.13368983957219,_proj_,_group_
226,158,1.51898734177215,1.68440399025487,1.58974358974359,1.45,0.116845180136319,0.129569537711913,1,3,NaN,1.51898734177215,_proj_,_group_
227,179,1.35754189944134,1.4823253036425,1.48780487804878,1.24742268041237,0.104426299957026,0.114025023357116,1,3,NaN,1.35754189944134,_proj_,_group_
228,186,1.28494623655914,1.49213768197132,1.23762376237624,1.34117647058824,0.0988420181968569,0.114779821690101,1,3,NaN,1.28494623655914,_proj_,_group_
229,190,1.36315789473684,1.61334072093146,1.37623762376238,1.34831460674157,0.104858299595142,0.124103132379343,1,3,NaN,1.36315789473684,_proj_,_group_
230,174,1.19540229885057,1.49247887416247,1.29166666666667,1.07692307692308,0.0919540229885057,0.114806067243267,1,3,NaN,1.19540229885057,_proj_,_group_
231,172,1.30232558139535,1.53378915758541,1.26436781609195,1.34117647058824,0.100178890876565,0.117983781352724,1,3,NaN,1.30232558139535,_proj_,_group_
232,180,1.25555555555556,1.47274009138904,1.25301204819277,1.25773195876289,0.0965811965811966,0.113287699337619,1,3,NaN,1.25555555555556,_proj_,_group_
233,188,1.40957446808511,1.61454413353452,1.27551020408163,1.55555555555556,0.108428805237316,0.124195702579578,1,3,NaN,1.40957446808511,_proj_,_group_
234,174,1.16666666666667,1.34329133073555,1.21917808219178,1.12871287128713,0.0897435897435897,0.103330102364273,1,3,NaN,1.16666666666667,_proj_,_group_
235,187,1.38502673796791,1.63015612892066,1.34042553191489,1.43010752688172,0.106540518305224,0.125396625301589,1,3,NaN,1.38502673796791,_proj_,_group_
236,173,1.36416184971098,1.43878542824707,1.34883720930233,1.37931034482759,0.104935526900845,0.110675802172851,1,3,NaN,1.36416184971098,_proj_,_group_
237,171,1.25146198830409,1.42702309331024,1.32558139534884,1.17647058823529,0.0962663067926226,0.109771007177711,1,3,NaN,1.25146198830409,_proj_,_group_
238,202,1.41089108910891,1.58803993772222,1.57272727272727,1.21739130434783,0.108530083777609,0.122156918286325,1,3,NaN,1.41089108910891,_proj_,_group_
