year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
39,712,0,0.418056109478831,0.416981613891726,0.267172442147572,482,0.478932584269663,0,0.00859101398993379,1,3,230,NA,NA,1000,0.0219803370786517,0.416981613891726,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
40,721,0,0.417195318988271,0.41373092926491,0.268401073930299,496,0.488210818307906,0,0.00885277549312182,1,3,225,NA,NA,1000,0.0214285714285714,0.41373092926491,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
41,737,0,0.416825426340605,0.414197607006291,0.265291874151424,514,0.503392130257802,0,0.00933904843835682,1,3,223,NA,NA,1000,0.0206241519674356,0.414197607006291,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
42,695,0,0.416714051126659,0.417933289731851,0.267920164582608,480,0.517985611510791,0,0.0095495448738381,1,3,215,NA,NA,1000,0.0202877697841727,0.417933289731851,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
43,711,0,0.416633784299223,0.41738908068022,0.265897648669158,478,0.542897327707454,0,0.00978113681091379,1,3,233,NA,NA,1000,0.0206047819971871,0.41738908068022,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
44,714,0,0.416834113324474,0.415253374076903,0.267687680990249,485,0.551820728291317,0,0.0103996943722444,1,3,229,NA,NA,1000,0.0202380952380952,0.415253374076903,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
45,738,0,0.417043960658872,0.418206454791821,0.261274580260128,514,0.523035230352303,0,0.0105349492272422,1,3,224,NA,NA,1000,0.0207994579945799,0.418206454791821,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
46,733,0,0.416829431054457,0.416532308073918,0.263545809247864,516,0.500682128240109,0,0.0107888218826484,1,3,217,NA,NA,1000,0.0201227830832196,0.416532308073918,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
47,727,0,0.41644221294127,0.417394022758534,0.263303515117283,505,0.50343878954608,0,0.0110377898607463,1,3,222,NA,NA,1000,0.0198074277854195,0.417394022758534,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
48,728,0,0.416739467606569,0.416096403596404,0.264665707326375,511,0.509615384615385,0,0.0118481104780236,1,3,217,NA,NA,1000,0.021771978021978,0.416096403596404,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
49,720,0,0.416157091750842,0.41760101010101,0.263956525638559,502,0.506944444444444,0,0.0122871378668118,1,3,218,NA,NA,1000,0.0226388888888889,0.41760101010101,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
50,706,0,0.415669678390369,0.416932783929951,0.266425526236747,480,0.46600566572238,0,0.013286615745611,1,3,226,NA,NA,1000,0.0220254957507082,0.416932783929951,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
51,724,0,0.415704380000055,0.416863385233551,0.263746672112243,513,0.483425414364641,0,0.0130618379496418,1,3,211,NA,NA,1000,0.0220303867403315,0.416863385233551,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
52,720,0,0.415581842732884,0.417146464646465,0.263987128509438,497,0.495833333333333,0,0.0133697526204961,1,3,223,NA,NA,1000,0.0225694444444444,0.417146464646465,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
53,716,0,0.415259887189992,0.41604875571356,0.265454288448591,491,0.490223463687151,0,0.013515628854913,1,3,225,NA,NA,1000,0.0233240223463687,0.41604875571356,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
54,704,0,0.414934270960509,0.41459194214876,0.268502972149136,478,0.515625,0,0.0142721432943352,1,3,226,NA,NA,1000,0.0234375,0.41459194214876,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
55,727,0,0.415451762430169,0.416268600725272,0.26369816680934,499,0.514442916093535,0,0.0142150470238372,1,3,228,NA,NA,1000,0.0243466299862448,0.416268600725272,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
56,725,0,0.414958607718085,0.418056426332288,0.261856194798734,504,0.497931034482759,0,0.0145998284964701,1,3,221,NA,NA,1000,0.024551724137931,0.418056426332288,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
57,729,0,0.415023116394859,0.41688489836638,0.262462498540986,513,0.503429355281207,0,0.0146511685059726,1,3,216,NA,NA,1000,0.0256515775034294,0.41688489836638,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
58,738,0,0.415051741888446,0.41590293175659,0.262111761627912,517,0.520325203252033,0,0.0153864268800114,1,3,221,NA,NA,1000,0.0267615176151762,0.41590293175659,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
59,730,0,0.414985286340606,0.41692403486924,0.262243357799127,510,0.491780821917808,0,0.0160290188468565,1,3,220,NA,NA,1000,0.0266438356164384,0.41692403486924,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
60,717,0,0.415254176894379,0.416546215290985,0.264803920298614,502,0.482566248256625,0,0.016076016053045,1,3,215,NA,NA,1000,0.0276847977684798,0.416546215290985,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
61,733,0,0.415302353786577,0.418144611186903,0.260798471306856,515,0.493860845839018,0,0.0164235556634369,1,3,218,NA,NA,1000,0.0272169167803547,0.418144611186903,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
62,719,0,0.414947355796666,0.419218611708181,0.261620097415958,504,0.497913769123783,0,0.0166380270614072,1,3,215,NA,NA,1000,0.0264951321279555,0.419218611708181,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
63,710,0,0.414923527077961,0.419090909090909,0.263137774173352,483,0.512676056338028,0,0.0169428224244496,1,3,227,NA,NA,1000,0.026830985915493,0.419090909090909,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
64,705,0,0.414643931391781,0.418233397807866,0.264565987806474,481,0.517730496453901,0,0.0170257083524204,1,3,224,NA,NA,1000,0.0261702127659574,0.418233397807866,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
65,718,0,0.413602135444184,0.416080020258293,0.263905936253242,491,0.497214484679666,0,0.0175594171998779,1,3,227,NA,NA,1000,0.0252785515320334,0.416080020258293,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
66,727,0,0.413869145221067,0.41620607727898,0.262594412765535,502,0.495185694635488,0,0.017591082228317,1,3,225,NA,NA,1000,0.0269601100412655,0.41620607727898,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
67,732,0,0.414864989589526,0.415673124689518,0.263105507025521,510,0.475409836065574,0,0.0177538624706481,1,3,222,NA,NA,1000,0.0275956284153005,0.415673124689518,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
68,729,0,0.41550047204419,0.415076692854471,0.264623250420814,506,0.470507544581619,0,0.0173116888983741,1,3,223,NA,NA,1000,0.0288065843621399,0.415076692854471,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
69,715,0,0.41661759854894,0.416999364272092,0.265654502242096,498,0.502097902097902,0,0.0165117024397912,1,3,217,NA,NA,1000,0.0294405594405594,0.416999364272092,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
70,711,0,0.417377157787348,0.418002812939522,0.265831134979507,487,0.510548523206751,0,0.0161082364772961,1,3,224,NA,NA,1000,0.0312236286919831,0.418002812939522,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
71,699,0,0.417113703670833,0.420210690596957,0.265357823877239,476,0.492131616595136,0,0.0162435788923129,1,3,223,NA,NA,1000,0.030829756795422,0.420210690596957,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
72,694,0,0.416486865977249,0.420971967513754,0.264967328279109,461,0.514409221902017,0,0.0170483268198406,1,3,233,NA,NA,1000,0.0312680115273775,0.420971967513754,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
73,710,0,0.416199545544715,0.42089628681178,0.262287150903395,484,0.522535211267606,0,0.0175986918809767,1,3,226,NA,NA,1000,0.0332394366197183,0.42089628681178,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
74,723,0,0.415181575921749,0.420231359235509,0.260162618497376,494,0.533886583679115,0,0.0183162158389775,1,3,229,NA,NA,1000,0.0334716459197787,0.420231359235509,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
75,722,0,0.415300035367216,0.419969780911609,0.260665808887474,498,0.516620498614958,0,0.0190773466537824,1,3,224,NA,NA,1000,0.0350415512465374,0.419969780911609,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
76,710,0,0.41555188364502,0.416760563380282,0.265888592008426,503,0.523943661971831,0,0.018553128410433,1,3,207,NA,NA,1000,0.0361267605633803,0.416760563380282,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
77,703,0,0.415434103238251,0.418414586835639,0.265273491934471,475,0.502133712660028,0,0.0187980521315171,1,3,228,NA,NA,1000,0.0378378378378378,0.418414586835639,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
78,726,0,0.415014619247595,0.420360631104433,0.259443822100912,497,0.526170798898072,0,0.0190426046072791,1,3,229,NA,NA,1000,0.0392561983471074,0.420360631104433,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
79,708,0,0.414776336330847,0.417591165896251,0.264821391816371,486,0.524011299435028,0,0.0193528698633203,1,3,222,NA,NA,1000,0.0400423728813559,0.417591165896251,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
80,712,0,0.415406220231605,0.415245148110317,0.266968365898623,482,0.529494382022472,0,0.0188824536052077,1,3,230,NA,NA,1000,0.0416432584269663,0.415245148110317,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
81,716,0,0.414619434687375,0.412430167597765,0.268572060792391,492,0.532122905027933,0,0.0187324736184614,1,3,224,NA,NA,1000,0.0404329608938548,0.412430167597765,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
82,726,0,0.415579467925619,0.416629100926622,0.263584068612546,507,0.538567493112948,0,0.018182873859829,1,3,219,NA,NA,1000,0.0399449035812672,0.416629100926622,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
83,724,0,0.415764587050567,0.418608739326971,0.262052787203762,496,0.538674033149171,0,0.018881477462635,1,3,228,NA,NA,1000,0.0407458563535912,0.418608739326971,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
84,721,0,0.415266669826141,0.417841381919052,0.262912341058055,499,0.507628294036061,0,0.0192825144789746,1,3,222,NA,NA,1000,0.0425104022191401,0.417841381919052,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
