year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,LBp,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
37,711,0,0.157445004083096,0.157640966628308,-0.000163085386679652,476,0.465541490857947,0,0.00854955943704657,3,1,235,0.368603242593362,NA,1000,0,0.157640966628308,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
38,716,0,0.157238489357386,0.157624428643982,-0.000663215098936791,479,0.495810055865922,0,0.00880641252471234,3,1,237,0.368750247979776,NA,1000,0,0.157624428643982,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
39,723,0,0.157593123605331,0.157916509493273,-0.00050495813746969,486,0.489626556016597,0,0.00924719553747995,3,1,237,0.368878910841019,NA,1000,0,0.157916509493273,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
40,734,0,0.15737164876122,0.157728511270746,-0.000604090789780594,503,0.46866485013624,0,0.00942684315259325,3,1,231,0.368961903887634,NA,1000,0,0.157728511270746,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
41,734,0,0.157569711942461,0.15783378746594,-0.000357589969256351,510,0.483651226158038,0,0.00960641635173074,3,1,224,0.369004317362273,NA,1000,0,0.15783378746594,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
42,743,0,0.157373143260175,0.157503976508014,-9.05905202627402e-06,519,0.472409152086137,0,0.00974511910797616,3,1,224,0.3690501030038,NA,1000,0,0.157503976508014,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
43,728,0,0.157164495017345,0.157094155844156,0.000528848084487338,503,0.461538461538462,0,0.0100973382725332,3,1,225,0.369141260717905,NA,1000,0,0.157094155844156,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
44,722,0,0.157453942398176,0.157375975824729,0.00054922275220436,490,0.465373961218837,0,0.0103490177636407,3,1,232,0.36916613585398,NA,1000,0,0.157375975824729,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
45,713,0,0.157694627327787,0.15786051255897,-8.55201051056594e-05,484,0.481065918653576,0,0.0105879684011653,3,1,229,0.369267529580954,NA,1000,0,0.15786051255897,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
46,711,0,0.157354107760293,0.157574478966884,-0.000226783472376503,477,0.472573839662447,0,0.0108315888720256,3,1,234,0.369390501056988,NA,1000,0,0.157574478966884,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
47,715,0,0.157311780527165,0.157750794659886,-0.000800537910686768,481,0.472727272727273,0,0.0109660279148274,3,1,234,0.369418830556123,NA,1000,0,0.157750794659886,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
48,720,0,0.157148894325196,0.157675505050505,-0.00103663816791962,487,0.4875,0,0.0111201504250604,3,1,233,0.369566874680041,NA,1000,0,0.157675505050505,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
49,719,0,0.156857211490017,0.157531925654318,-0.00142502449157791,486,0.499304589707928,0,0.0112712332079036,3,1,233,0.369690521051259,NA,1000,0,0.157531925654318,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
50,722,0,0.157043217063321,0.157904809871569,-0.00192013849850278,492,0.481994459833795,0,0.0112461302253533,3,1,230,0.369714152188594,NA,1000,0,0.157904809871569,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
51,736,0,0.156637485869297,0.157604990118577,-0.00223305674336327,523,0.504076086956522,0,0.0113222397384922,3,1,213,0.369793347104206,NA,1000,0,0.157604990118577,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
52,713,0,0.156258542694203,0.157294402652046,-0.00236231293755416,481,0.507713884992987,0,0.0115595354297879,3,1,232,0.369922942538359,NA,1000,0,0.157294402652046,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
53,702,0,0.15608714805296,0.156731416731417,-0.0013217339457941,467,0.514245014245014,0,0.0118465373603098,3,1,235,0.370055739093914,NA,1000,0,0.156731416731417,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
54,702,0,0.155650703100846,0.156120176120176,-0.000870429669842834,468,0.492877492877493,0,0.0122447857073453,3,1,234,0.370393496830631,NA,1000,0,0.156120176120176,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
55,713,0,0.155474855504922,0.15589315313018,-0.000750621748739543,476,0.49929873772791,0,0.0127891838410705,3,1,237,0.370700775877573,NA,1000,0,0.15589315313018,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
56,707,0,0.155401503981475,0.155558698727016,-6.34794852085881e-05,474,0.509193776520509,0,0.0128008880668647,3,1,233,0.370744770946234,NA,1000,0,0.155558698727016,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
57,734,0,0.155351490706874,0.155052018825861,0.00113908495641985,496,0.529972752043597,0,0.0130314021559099,3,1,238,0.370881235577582,NA,1000,0,0.155052018825861,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
58,703,0,0.15571694548074,0.15561748351222,0.000605546113023745,473,0.509246088193457,0,0.0132364029216691,3,1,230,0.370788135549751,NA,1000,0,0.15561748351222,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
59,704,0,0.155705754418377,0.15545583677686,0.000996485860551796,467,0.495738636363636,0,0.0134891106233562,3,1,237,0.370853659381959,NA,1000,0,0.15545583677686,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
