YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
112,50,1.72,1.485164734,1.761904762,1.689655172,0.172,1.485164734,1,c,purple,1
113,51,1.784313725,1.432671986,1.421052632,2,0.178431373,1.432671986,1,c,purple,1
114,35,1.8,1.158091737,1.736842105,1.875,0.18,1.158091737,1,c,purple,1
115,33,1.515151515,1.148945498,1.8,1.277777778,0.151515152,1.148945498,1,c,purple,1
116,31,2.129032258,1.284313967,2.1,2.181818182,0.212903226,1.284313967,1,c,purple,1
117,31,1.64516129,1.198565451,1.684210526,1.583333333,0.164516129,1.198565451,1,c,purple,1
118,33,1.757575758,1.250757346,1.764705882,1.75,0.175757576,1.250757346,1,c,purple,1
119,37,1.567567568,1.236943827,1.590909091,1.533333333,0.156756757,1.236943827,1,c,purple,1
120,44,2.090909091,1.681889605,1.708333333,2.55,0.209090909,1.681889605,1,c,purple,1
121,41,1.731707317,1.449558385,1.608695652,1.888888889,0.173170732,1.449558385,1,c,purple,1
122,43,1.744186047,1.216807362,1.739130435,1.75,0.174418605,1.216807362,1,c,purple,1
123,34,1.5,1.134847473,1.388888889,1.625,0.15,1.134847473,1,c,purple,1
124,27,1.703703704,1.46273755,1.888888889,1.611111111,0.17037037,1.46273755,1,c,purple,1
125,23,1.826086957,1.52709391,1.555555556,2,0.182608696,1.52709391,1,c,purple,1
126,21,1.904761905,1.179184545,1.923076923,1.875,0.19047619,1.179184545,1,c,purple,1
127,25,1.4,1.354006401,1.444444444,1.375,0.14,1.354006401,1,c,purple,1
128,29,1.482758621,1.18384029,1.266666667,1.714285714,0.148275862,1.18384029,1,c,purple,1
129,34,1.764705882,1.688801324,1.555555556,2,0.176470588,1.688801324,1,c,purple,1
130,36,1.5,1.383577144,1.166666667,2.166666667,0.15,1.383577144,1,c,purple,1
131,35,1.542857143,1.196633934,1.526315789,1.5625,0.154285714,1.196633934,1,c,purple,1
132,26,2.153846154,1.689788334,1.785714286,2.583333333,0.215384615,1.689788334,1,c,purple,1
133,20,2,2,2.636363636,1.222222222,0.2,2,1,c,purple,1
134,15,1,1.069044968,1.3,0.4,0.1,1.069044968,1,c,purple,1
135,16,1.75,1.238278375,1.625,1.875,0.175,1.238278375,1,c,purple,1
136,16,1.6875,1.493039406,1.9,1.333333333,0.16875,1.493039406,1,c,purple,1
137,21,1.142857143,1.152636729,1.166666667,1.111111111,0.114285714,1.152636729,1,c,purple,1
138,25,1.12,0.8326664,1,1.166666667,0.112,0.8326664,1,c,purple,1
139,29,1.137931034,0.915116618,1.153846154,1.125,0.113793103,0.915116618,1,c,purple,1
140,29,1.068965517,1.162848549,1,1.125,0.106896552,1.162848549,1,c,purple,1
141,20,1.2,1.23969436,1.5,1.071428571,0.12,1.23969436,1,c,purple,1
142,10,1.4,0.966091783,2,1.333333333,0.14,0.966091783,1,c,purple,1
143,4,1.75,2.061552813,1.5,2,0.175,2.061552813,1,c,purple,1
144,5,1,1,0,1.666666667,0.1,1,1,c,purple,1
145,4,0.25,0.5,0.5,0,0.025,0.5,1,c,purple,1
146,6,0.666666667,0.816496581,0.75,0.5,0.066666667,0.816496581,1,c,purple,1
147,9,1.555555556,1.740051085,1.8,1.25,0.155555556,1.740051085,1,c,purple,1
148,10,1.5,1.354006401,0.333333333,2,0.15,1.354006401,1,c,purple,1
149,16,0.5625,0.727438428,0.714285714,0.444444444,0.05625,0.727438428,1,c,purple,1
150,19,0.631578947,0.76088591,0.7,0.555555556,0.063157895,0.76088591,1,c,purple,1
151,17,0.176470588,0.392952624,0.3,0,0.017647059,0.392952624,1,c,purple,1
152,17,0.529411765,0.943242218,0.333333333,1,0.052941176,0.943242218,1,c,purple,1
153,16,0.6875,1.078192933,0.363636364,1.4,0.06875,1.078192933,1,c,purple,1
154,20,0.45,0.686332741,0.727272727,0.111111111,0.045,0.686332741,1,c,purple,1
155,15,0.4,0.632455532,0.285714286,0.5,0.04,0.632455532,1,c,purple,1
156,21,0.714285714,0.902377811,0.846153846,0.5,0.071428571,0.902377811,1,c,purple,1
157,10,0.7,0.948683298,0.333333333,1.25,0.07,0.948683298,1,c,purple,1
158,18,0.944444444,1.392087819,1.363636364,0.285714286,0.094444444,1.392087819,1,c,purple,1
159,19,1,1.56347192,1.333333333,0.846153846,0.1,1.56347192,1,c,purple,1
160,20,0.35,0.489360485,0.5,0.25,0.035,0.489360485,1,c,purple,1
161,16,0.375,0.718795288,0.285714286,0.444444444,0.0375,0.718795288,1,c,purple,1
162,17,0.647058824,1.05718828,0.571428571,0.7,0.064705882,1.05718828,1,c,purple,1
163,18,0.666666667,1.371988681,1.5,0.428571429,0.066666667,1.371988681,1,c,purple,1
164,13,0.615384615,0.869718493,0.166666667,1,0.061538462,0.869718493,1,c,purple,1
165,20,0.2,0.523148364,0.153846154,0.285714286,0.02,0.523148364,1,c,purple,1
166,12,0.583333333,0.99620492,0.5,0.75,0.058333333,0.99620492,1,c,purple,1
167,18,1.5,1.790497795,1.454545455,1.571428571,0.15,1.790497795,1,c,purple,1
168,19,0.684210526,1.293257368,0.928571429,0,0.068421053,1.293257368,1,c,purple,1
169,21,0.761904762,0.94365046,0.875,0.692307692,0.076190476,0.94365046,1,c,purple,1
170,19,1.947368421,1.870047064,3.142857143,1.25,0.194736842,1.870047064,1,c,purple,1
171,21,1.523809524,1.96517296,1.875,1.307692308,0.152380952,1.96517296,1,c,purple,1
172,25,1.48,1.661324773,1.454545455,1.5,0.148,1.661324773,1,c,purple,1
173,24,1.25,1.700383588,0.714285714,2,0.125,1.700383588,1,c,purple,1
174,28,1.642857143,1.393484461,1.230769231,2,0.164285714,1.393484461,1,c,purple,1
175,28,1.714285714,1.511857892,2.272727273,1.352941176,0.171428571,1.511857892,1,c,purple,1
176,21,2.476190476,1.631534481,2.5,2.428571429,0.247619048,1.631534481,1,c,purple,1
177,18,2.277777778,1.637988564,2.375,2.2,0.227777778,1.637988564,1,c,purple,1
178,16,2.25,1.843908891,2.4,2,0.225,1.843908891,1,c,purple,1
179,13,2.384615385,1.894661867,2,3.25,0.238461538,1.894661867,1,c,purple,1
180,13,2.538461538,1.450022104,3,2.25,0.253846154,1.450022104,1,c,purple,1
181,16,2.25,1.570562532,2.75,1.75,0.225,1.570562532,1,c,purple,1
182,20,2.25,1.517442447,2.384615385,2,0.225,1.517442447,1,c,purple,1
183,23,2.086956522,1.239979599,1.888888889,2.214285714,0.208695652,1.239979599,1,c,purple,1
184,28,2.535714286,1.574851971,2.333333333,2.6875,0.253571429,1.574851971,1,c,purple,1
185,26,2.115384615,1.4512594,1.692307692,2.538461538,0.211538462,1.4512594,1,c,purple,1
186,26,1.615384615,1.525173382,1.307692308,1.923076923,0.161538462,1.525173382,1,c,purple,1
187,22,2.363636364,1.255291829,2.461538462,2.222222222,0.236363636,1.255291829,1,c,purple,1
188,18,2,1.414213562,1.7,2.375,0.2,1.414213562,1,c,purple,1
189,20,1.85,1.225818738,1.25,2.75,0.185,1.225818738,1,c,purple,1
190,20,1.35,1.424411236,1.214285714,1.666666667,0.135,1.424411236,1,c,purple,1
191,24,2.333333333,1.307725096,2.4,2.222222222,0.233333333,1.307725096,1,c,purple,1
192,29,2.586206897,2.383233718,1.611111111,4.181818182,0.25862069,2.383233718,1,c,purple,1
193,30,1.633333333,0.999425122,1.631578947,1.636363636,0.163333333,0.999425122,1,c,purple,1
194,32,2.8125,2.054695645,2.4,3.176470588,0.28125,2.054695645,1,c,purple,1
195,31,2.129032258,1.688035061,2.210526316,2,0.212903226,1.688035061,1,c,purple,1
196,27,2.481481481,1.987854862,2.428571429,2.538461538,0.248148148,1.987854862,1,c,purple,1
197,25,2.12,1.921804707,1.818181818,2.357142857,0.212,1.921804707,1,c,purple,1
198,25,2.16,1.178982612,2.142857143,2.181818182,0.216,1.178982612,1,c,purple,1
