YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
108,35,1.971428571,1.706143127,2.15,1.733333333,0.197142857,1.706143127,1,b,blue,0
109,36,2.138888889,1.6414763,2,2.227272727,0.213888889,1.6414763,1,b,blue,0
110,42,1.738095238,1.682905789,1.172413793,3,0.173809524,1.682905789,1,b,blue,0
111,47,1.680851064,1.369010798,1.689655172,1.666666667,0.168085106,1.369010798,1,b,blue,0
112,54,1.925925926,1.55225766,1.846153846,2,0.192592593,1.55225766,1,b,blue,0
113,51,1.705882353,1.389879385,1.5,1.888888889,0.170588235,1.389879385,1,b,blue,0
114,49,1.612244898,1.440722136,1.75,1.352941176,0.16122449,1.440722136,1,b,blue,0
115,38,1.763157895,1.45999279,1.8,1.722222222,0.176315789,1.45999279,1,b,blue,0
116,28,2.285714286,1.583646586,2.25,2.333333333,0.228571429,1.583646586,1,b,blue,0
117,31,1.903225806,1.445794792,1.714285714,2.058823529,0.190322581,1.445794792,1,b,blue,0
118,27,2.111111111,1.577079417,1.642857143,2.615384615,0.211111111,1.577079417,1,b,blue,0
119,34,1.705882353,1.528108591,1.333333333,2,0.170588235,1.528108591,1,b,blue,0
120,37,1.486486486,1.169558835,1.631578947,1.333333333,0.148648649,1.169558835,1,b,blue,0
121,46,1.826086957,1.179535649,1.791666667,1.863636364,0.182608696,1.179535649,1,b,blue,0
122,44,1.590909091,1.435726569,1.666666667,1.52173913,0.159090909,1.435726569,1,b,blue,0
123,43,1.697674419,1.504515168,1.4,2.111111111,0.169767442,1.504515168,1,b,blue,0
124,31,1.935483871,1.651978286,2.1875,1.666666667,0.193548387,1.651978286,1,b,blue,0
125,24,1.75,1.113162358,1.333333333,2,0.175,1.113162358,1,b,blue,0
126,22,1.863636364,1.52113537,1.363636364,2.363636364,0.186363636,1.52113537,1,b,blue,0
127,21,1.761904762,1.670471847,1.769230769,1.75,0.176190476,1.670471847,1,b,blue,0
128,24,2,1.474419562,1.615384615,2.454545455,0.2,1.474419562,1,b,blue,0
129,29,1.551724138,1.351882468,1.625,1.461538462,0.155172414,1.351882468,1,b,blue,0
130,37,1.567567568,1.236943827,1.4375,1.666666667,0.156756757,1.236943827,1,b,blue,0
131,38,1.815789474,1.430465114,1.833333333,1.785714286,0.181578947,1.430465114,1,b,blue,0
132,35,1.4,1.168206267,1.6,1.133333333,0.14,1.168206267,1,b,blue,0
133,27,2,1.074172311,1.727272727,2.1875,0.2,1.074172311,1,b,blue,0
134,18,1.833333333,1.150447483,2.1,1.5,0.183333333,1.150447483,1,b,blue,0
135,12,2.083333333,1.676486224,1.333333333,2.333333333,0.208333333,1.676486224,1,b,blue,0
136,12,1.25,1.055289706,1.4,1.142857143,0.125,1.055289706,1,b,blue,0
137,14,1.785714286,1.368804724,2.2,1.555555556,0.178571429,1.368804724,1,b,blue,0
138,23,1.565217391,1.160959124,1.9,1.307692308,0.156521739,1.160959124,1,b,blue,0
139,27,1.296296296,1.265361451,1.25,1.363636364,0.12962963,1.265361451,1,b,blue,0
140,28,1.142857143,1.380131119,1.125,1.166666667,0.114285714,1.380131119,1,b,blue,0
141,29,1.034482759,1.148998279,1.071428571,1,0.103448276,1.148998279,1,b,blue,0
142,21,1.095238095,1.091089451,1,1.25,0.10952381,1.091089451,1,b,blue,0
143,14,0.928571429,1.071611706,0.875,1,0.092857143,1.071611706,1,b,blue,0
144,NA,NA,NA,NA,NA,NA,NA,1,b,blue,0
145,NA,NA,NA,NA,NA,NA,NA,1,b,blue,0
146,3,4,3.464101615,2,5,0.4,3.464101615,1,b,blue,0
147,7,1.571428571,1.511857892,1.5,1.666666667,0.157142857,1.511857892,1,b,blue,0
148,9,1.111111111,1.364225462,1,1.125,0.111111111,1.364225462,1,b,blue,0
149,11,1.454545455,1.213559752,1.75,0.666666667,0.145454545,1.213559752,1,b,blue,0
150,19,0.789473684,0.917662935,1.142857143,0.583333333,0.078947368,0.917662935,1,b,blue,0
