YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
71,87,1.47126436781609,1.40463585001859,1.54545454545455,1.3953488372093,0.133751306165099,1.40463585001859,1,1
72,91,1.23076923076923,1.35873244097351,1.30612244897959,1.14285714285714,0.111888111888112,1.35873244097351,1,1
73,89,1.32584269662921,1.57952294940648,1.45714285714286,1.24074074074074,0.120531154239019,1.57952294940648,1,1
74,85,1.23529411764706,1.60094509902246,1.375,1.11111111111111,0.112299465240642,1.60094509902246,1,1
75,84,1.4047619047619,1.62153465625093,1.56756756756757,1.27659574468085,0.127705627705628,1.62153465625093,1,1
76,88,1.13636363636364,1.23345900119461,1.31818181818182,0.954545454545455,0.103305785123967,1.23345900119461,1,1
77,83,1.14457831325301,1.53918358245518,1.38888888888889,0.957446808510638,0.104052573932092,1.53918358245518,1,1
78,93,1.51612903225806,1.41891648209812,1.42307692307692,1.63414634146341,0.13782991202346,1.41891648209812,1,1
79,89,1.10112359550562,1.40651845979083,1.08695652173913,1.11627906976744,0.100102145045965,1.40651845979083,1,1
80,83,1.55421686746988,1.55589368914047,1.5,1.61538461538462,0.141292442497262,1.55589368914047,1,1
81,89,1.1685393258427,1.16028949224849,1.25,1.07317073170732,0.106230847803882,1.16028949224849,1,1
82,83,1.21686746987952,1.57765025005223,0.942857142857143,1.41666666666667,0.110624315443593,1.57765025005223,1,1
83,86,1.27906976744186,1.53891606460481,1.36111111111111,1.22,0.116279069767442,1.53891606460481,1,1
84,87,0.988505747126437,1.36819566186735,0.956521739130435,1.02439024390244,0.0898641588296761,1.36819566186735,1,1
85,83,1.26506024096386,1.54670647214037,1.14583333333333,1.42857142857143,0.11500547645126,1.54670647214037,1,1
86,88,1.18181818181818,1.27347343405814,1.21951219512195,1.14893617021277,0.107438016528926,1.27347343405814,1,1
87,91,1.30769230769231,1.49586324161229,1.4047619047619,1.22448979591837,0.118881118881119,1.49586324161229,1,1
88,85,1.38823529411765,1.53602856532729,1.07317073170732,1.68181818181818,0.12620320855615,1.53602856532729,1,1
89,86,1.48837209302326,1.65027046657786,1.75555555555556,1.19512195121951,0.135306553911205,1.65027046657786,1,1
90,94,1.69148936170213,1.65280208954292,1.55555555555556,1.875,0.153771760154739,1.65280208954292,1,1
91,96,1.46875,1.54887480381558,1.23913043478261,1.68,0.133522727272727,1.54887480381558,1,1
92,99,1.14141414141414,1.34778806704746,0.911111111111111,1.33333333333333,0.10376492194674,1.34778806704746,1,1
93,90,1.35555555555556,1.60274421344544,1.4375,1.26190476190476,0.123232323232323,1.60274421344544,1,1
94,86,1.27906976744186,1.49234251541345,1.34883720930233,1.2093023255814,0.116279069767442,1.49234251541345,1,1
95,78,1.43589743589744,1.68715347449094,1.34210526315789,1.525,0.130536130536131,1.68715347449094,1,1
96,88,1.31818181818182,1.36916330306878,1.68085106382979,0.902439024390244,0.119834710743802,1.36916330306878,1,1
97,84,1.44047619047619,1.54725711818939,1.32558139534884,1.5609756097561,0.130952380952381,1.54725711818939,1,1
98,92,1.17391304347826,1.26324799973678,1.14545454545455,1.21621621621622,0.106719367588933,1.26324799973678,1,1
99,106,1.59433962264151,1.68341094712233,1.28260869565217,1.83333333333333,0.144939965694683,1.68341094712233,1,1
100,83,1.28915662650602,1.46112319376707,1.13157894736842,1.42222222222222,0.117196056955093,1.46112319376707,1,1
101,82,1.09756097560976,1.36634825647214,1.24444444444444,0.918918918918919,0.0997782705099778,1.36634825647214,1,1
102,93,1.23655913978495,1.45510980806594,1.29166666666667,1.17777777777778,0.112414467253177,1.45510980806594,1,1
103,80,1.15,1.44169379989588,1.15217391304348,1.14705882352941,0.104545454545455,1.44169379989588,1,1
104,82,1.52439024390244,1.54140876526379,1.45454545454545,1.60526315789474,0.138580931263858,1.54140876526379,1,1
105,93,1.24731182795699,1.16708401003913,1.22,1.27906976744186,0.113391984359726,1.16708401003913,1,1
106,82,1,1.09994388184574,1.09302325581395,0.897435897435897,0.0909090909090909,1.09994388184574,1,1
107,71,1.77464788732394,1.89885065311017,1.23684210526316,2.39393939393939,0.161331626120359,1.89885065311017,1,1
108,82,1.07317073170732,1.35883472050552,1.2,0.952380952380952,0.0975609756097561,1.35883472050552,1,1
109,77,1.1038961038961,1.39155739697059,1.41025641025641,0.789473684210526,0.100354191263282,1.39155739697059,1,1
110,81,1.54320987654321,1.88447195996683,1.48837209302326,1.60526315789474,0.140291806958474,1.88447195996683,1,1
111,87,1.37931034482759,1.47255022665036,1.61702127659574,1.1,0.125391849529781,1.47255022665036,1,1
112,85,1.44705882352941,1.74918948817623,1.52380952380952,1.37209302325581,0.131550802139037,1.74918948817623,1,1
113,74,1.31081081081081,1.29197391376689,1.4375,1.21428571428571,0.119164619164619,1.29197391376689,1,1
