YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
237,83,1.397590361,1.439340627,1.386363636,1.41025641,0.093172691,1.439340627,1,1
238,81,1.24691358,1.436409275,1.619047619,0.846153846,0.083127572,1.436409275,1,1
239,83,1.397590361,1.63751566,1.605263158,1.222222222,0.093172691,1.63751566,1,1
240,74,1.391891892,1.885907126,1.138888889,1.631578947,0.092792793,1.885907126,1,1
241,76,1.263157895,1.652218073,1.56097561,0.914285714,0.084210526,1.652218073,1,1
242,79,1.46835443,1.715954119,1.35,1.58974359,0.097890295,1.715954119,1,1
243,91,1.164835165,1.500101747,1.052631579,1.245283019,0.077655678,1.500101747,1,1
244,90,1.611111111,1.912081309,1.590909091,1.630434783,0.107407407,1.912081309,1,1
245,93,1.548387097,1.658418111,1.666666667,1.4375,0.103225806,1.658418111,1,1
246,102,1.37254902,1.534562657,1.490566038,1.244897959,0.091503268,1.534562657,1,1
247,103,1.368932039,1.559224866,1.425925926,1.306122449,0.091262136,1.559224866,1,1
248,111,0.540540541,0.92228751,0.680851064,0.4375,0.036036036,0.92228751,1,1
249,111,0,0,0,0,0,0,1,1
250,117,0,0,0,0,0,0,1,1
-1,49,0.836734694,1.736218818,0.827586207,0.85,0.069727891,1.736218818,1,1
0,443,0.69751693,1.150906851,0.680555556,0.713656388,0.058126411,1.150906851,1,1
1,3,0.666666667,0.577350269,1,0,0.055555556,0.577350269,1,1
2,46,0.956521739,1.134441061,1,0.909090909,0.079710145,1.134441061,1,1
3,72,1.375,1.467368057,1.444444444,1.305555556,0.114583333,1.467368057,1,1
4,95,1.221052632,1.430510602,1.073170732,1.333333333,0.101754386,1.430510602,1,1
5,97,1.597938144,1.611545543,1.530612245,1.666666667,0.133161512,1.611545543,1,1
6,97,1.515463918,1.677755209,1.509803922,1.52173913,0.12628866,1.677755209,1,1
7,91,1.538461538,1.910832816,1.395833333,1.697674419,0.128205128,1.910832816,1,1
8,91,1.43956044,1.454562104,1.744680851,1.113636364,0.11996337,1.454562104,1,1
9,89,1.078651685,1.35868184,1.19047619,0.978723404,0.08988764,1.35868184,1,1
10,86,0.988372093,1.287900124,1.292682927,0.711111111,0.082364341,1.287900124,1,1
11,89,1.382022472,1.641130555,1.577777778,1.181818182,0.115168539,1.641130555,1,1
12,82,1.219512195,1.555749117,1.166666667,1.260869565,0.101626016,1.555749117,1,1
13,87,1.287356322,1.477805145,1.155555556,1.428571429,0.107279693,1.477805145,1,1
14,87,1.022988506,1.238688461,0.972222222,1.058823529,0.085249042,1.238688461,1,1
15,93,1.258064516,1.241521032,1.239130435,1.276595745,0.10483871,1.241521032,1,1
16,92,1.402173913,1.657880168,1.625,1.230769231,0.116847826,1.657880168,1,1
